"code","description","relatedEmdnCodes"
"42811","Compression/pressure sock/stocking, reusable",""
"46207","Peristomal/periwound dressing",""
"62525","Intestinal ostomy bag/support kit",""
"47247","Cardiac transseptal access set",""
"58865","Vascular catheter introduction set, nonimplantable",""
"47143","Electrical-only medical device connection cable, single-use",""
"46355","Cardiac mapping catheter, percutaneous, single-use",""
"45603","Single-administration urethral drainage catheter",""
"47732","Coronary angioplasty balloon catheter, basic",""
"44732","Orthodontic aligner auxiliary attachment kit",""
"57815","CPAP/BPAP nasal mask, reusable",""
"57814","CPAP/BPAP face mask, reusable",""
"60712","Home BPAP unit",""
"60711","Home CPAP unit",""
"12050","Heated respiratory humidifier",""
"35113","Non-heated respiratory humidifier",""
"37705","Ventilator breathing circuit, reusable",""
"35171","Rebreathing oxygen face mask",""
"40582","Ventilator application software",""
"63711","Infrared patient thermometer, ear/skin",""
"45617","Automatic-inflation electronic sphygmomanometer, portable, arm/wrist",""
"35379","Universal operating table, electrohydraulic",""
"47764","Wound hydrogel dressing, non-antimicrobial",""
"33199","Flexible endoscopic tissue manipulation forceps, single-use",""
"46454","Gastrointestinal/airway foreign body retrieval basket, single-use",""
"46715","ERCP catheter, balloon, non-electrical, stone-retrieval",""
"61208","Gastrointestinal endoscopic clip, long-term, non-bioabsorbable",""
"58039","Endoscopic electrosurgical handpiece/electrode, monopolar, single-use",""
"62615","Mechanical-cutting endoscopic polypectomy snare",""
"34873","Manual hospital bed",""
"34870","Basic electric hospital bed",""
"16173","Automatic-inflation electronic sphygmomanometer, non-portable",""
"32109","Haemodialysis system transducer protector",""
"12741","Haemodialysis needle",""
"34999","Haemodialysis blood tubing set, single-use",""
"45607","Pulse oximeter",""
"17887","Infrared patient thermometer, ear",""
"17888","Infrared patient thermometer, skin",""
"56286","Nitrile examination/treatment glove, non-powdered, non-antimicrobial",""
"36551","Patient monitoring system module, blood pressure, noninvasive",""
"36022","Bioelectrical body composition analyser",""
"14035","Intermittent electronic patient thermometer",""
"56647","Nasal aspirator, electric",""
"56552","HLA class II antibody identification panel IVD, kit, enzyme immunoassay (EIA)",""
"55847","Dental implant system",""
"61641","Dental implant abutment analog, intraoral-scanning, single-use",""
"45147","Dental/maxillofacial surgical procedure kit, non-medicated, reusable",""
"45714","Fixture/appliance dental drill bit, reusable",""
"14147","Bone trephine, reusable",""
"64371","Dental implantation drilling template guide-sleeve",""
"46552","Dental implantation drilling template retention pin",""
"33968","Surgical screwdriver, reusable",""
"45320","Dental drill bit extension",""
"64304","Manual non-rotary dental instrument handle",""
"44880","Dental implant suprastructure, temporary, preformed, single-use",""
"61642","Dental implant analog",""
"57789","Surgical drill guide, single-use",""
"58776","Surgical screwdriver, single-use",""
"35095","Surgical drill guide, reusable",""
"45697","Fixture/appliance dental drill bit, single-use",""
"35429","Sharps container",""
"15155","Inoculating tool IVD, manual",""
"57907","Faecal specimen container IVD, no additive",""
"16822","Pipette tip",""
"11961","Face splash shield, single-use",""
"62229","Test tube/reservoir cap",""
"46237","General laboratory container, single-use",""
"57919","24-hour urine specimen container IVD, no additive",""
"12500","Medical bag",""
"62669","Clinical specimen extraction buffer IVD",""
"37468","Vaginal speculum, single-use",""
"35254","General-purpose patient temperature probe, single-use",""
"47487","Electrical-only medical device connection cable, reusable",""
"35562","Electrocardiographic lead set, reusable",""
"42489","Electrocardiographic electrode, reusable",""
"47976","Femoral artery compression bandage, single-use",""
"12747","Intra-arterial needle",""
"17541","Catheter/overtube balloon inflator, single-use",""
"63673","Infusion line manifold",""
"36079","Haemostasis valve",""
"46455","Torque manipulation device",""
"35094","Cardiac/peripheral vascular guidewire, single-use",""
"61836","Cardiopulmonary bypass system pressure-monitoring tubing",""
"15286","Angiographic syringe",""
"56701","Chemiluminescent immunoassay analyser IVD",""
"60922","Multiple form 25-hydroxy vitamin D IVD, kit, chemiluminescent immunoassay",""
"38262","Total human chorionic gonadotropin IVD, control",""
"54413","Free thyroxine (FT4) IVD, kit, chemiluminescent immunoassay",""
"54386","Thyroid stimulating hormone (TSH) IVD, kit, chemiluminescent immunoassay",""
"47192","Skin staple remover, single-use",""
"35884","Skin stapler/staple, non-bioabsorbable",""
"33541","Bone/joint surgical power tool motor, electric",""
"59875","Intraluminal circular stapler, single-use",""
"47582","Pulse Co-oximeter probe, reusable",""
"47581","Pulse Co-oximeter probe, single-use",""
"37808","Pulse oximeter probe, reusable",""
"61821","Electrocardiographic lead set, single-use",""
"31658","Pulse oximeter probe, single-use",""
"37326","Blood pressure cuff, single-use",""
"34978","Blood pressure cuff, reusable",""
"42412","Laparoscopic access cannula, single-use",""
"65058","Endoscopic surgical ligation clip applier, reusable",""
"46232","Anaesthesia face mask, single-use",""
"42424","Oropharyngeal airway, single-use",""
"60882","Anaesthesia mask strap, single-use",""
"61326","Cardiopulmonary resuscitation mask, single-use",""
"35693","Cardiopulmonary resuscitation kit, single-use",""
"36086","Pulmonary resuscitator, manual, single-use",""
"60657","Non-rebreathing valve, single-use",""
"62385","Gastrointestinal telemetric monitoring system capsule, ingestible",""
"63646","Surgical irrigation pump",""
"58029","Foot-switch, pneumatic",""
"66200","Suction/irrigation system canister/bottle holder, reusable",""
"63256","Rigid video hysteroscope",""
"31253","Medical device air compressor",""
"37240","Hot/cold therapy pack, reusable",""
"34672","Air-conduction hearing aid, in-the-ear",""
"34671","Air-conduction hearing aid, behind-the-ear",""
"30082","Air-conduction hearing aid, wearable case",""
"41191","Audiometer testing system",""
"40761","General-purpose ultrasound imaging system",""
"40768","Extracorporeal ultrasound imaging transducer, hand-held",""
"36117","Flexible video colonoscope, reusable",""
"17663","Flexible video gastroscope, reusable",""
"18034","Endoscopic video image processing unit",""
"35158","Endoscopic light source unit, line-powered",""
"36951","Flexible ultrasound gastroduodenoscope",""
"40770","Surgical ultrasound imaging transducer",""
"40771","Rectal/vaginal ultrasound imaging transducer",""
"37891","Oesophageal ultrasound imaging transducer, reusable",""
"44685","Radiographic procedure tubing",""
"45275","Invasive blood pressure transducer set",""
"15275","Bone awl, reusable",""
"17521","Coronary angioplasty balloon catheter, perfusing",""
"47259","Contrast medium injection system syringe",""
"16545","Angiography kit",""
"47257","Bone matrix implant, human-derived",""
"37340","General-purpose patient temperature probe, reusable",""
"13100","Intravenous pressure infusor, manual, reusable",""
"35927","Invasive-pressure external transducer, single-use",""
"36306","Nasal oxygen cannula, carbon-dioxide-sampling",""
"65172","Intravenous pressure infusor, manual, single-use",""
"41917","Foetal Doppler system probe",""
"16866","Dressing-fixation skin adhesive tape, non-silicone",""
"36652","Rigid optical cystourethroscope",""
"37243","Manual blood lancing device, reusable",""
"47569","Scalpel, single-use",""
"61578","Manual blood lancing device, single-use",""
"61579","Blood lancet, single-use",""
"36872","Multiple vital physiological parameter monitoring system, clinical",""
"37697","Exothermic heat therapy pack/patch",""
"40555","Hot/cold therapy pack, single-use",""
"35127","Intravenous administration bag/bottle",""
"60940","Neurovascular embolization coil",""
"59040","ENFit oral/enteral syringe, single-use",""
"32712","Retinoscope, battery-powered",""
"46784","Retinoscope, line-powered",""
"61794","Direct otoscope/audiometer",""
"46786","Direct ophthalmoscope",""
"16800","Vision testing/training chart",""
"35148","Ophthalmic examination slit lamp",""
"32721","Ophthalmic tonometer, manual",""
"35191","General-purpose surgical microscope",""
"10551","Ophthalmic fundus camera",""
"30045","Hand-held magnifier",""
"45729","Eye anterior segment analyser",""
"65244","Hand-held subjective ophthalmic refractometer",""
"64676","Ophthalmic surgical microscope",""
"18038","Corneal topography system",""
"64574","Peripheral intravenous cannula",""
"66199","Surgical/medical face mask, non-antimicrobial, single-use",""
"47017","General-purpose syringe, single-use",""
"63095","General-purpose syringe/needle",""
"35457","Benchtop nebulizer, non-heated",""
"34040","Foetal Doppler system",""
"36888","Blood pressure ambulatory recorder",""
"38468","Intravenous pressure infusor, automated",""
"13755","Mechanical external stethoscope",""
"16231","Electrocardiograph, professional, multichannel",""
"31321","Mobile/portable oxygen concentrator",""
"54514","Multiple urine analyte IVD, kit, rapid colorimetric, clinical",""
"56676","Multiple clinical chemistry analyser IVD, laboratory",""
"38729","Telemetric electrocardiographic ambulatory recorder",""
"35162","Electrocardiographic ambulatory recorder",""
"38211","Stand-on floor scale, electronic",""
"35918","Urine analyser IVD, laboratory",""
"33586","General-purpose multi-parameter bedside monitor",""
"11413","Electrocardiograph, professional, single-channel",""
"36400","Ophthalmic instrument table, line-powered",""
"46290","Pre-prescription spectacle lens",""
"36255","Static ophthalmic equipment stand, manually-adjusted",""
"35922","Visual acuity projector",""
"16345","Exophthalmometer",""
"16347","Keratoscope, powered",""
"32731","Spectacle lens curvature gauge",""
"12326","Manually-adjusted lensmeter, line-powered",""
"45753","Automated lensmeter",""
"36386","Automated ophthalmic refractometer",""
"32792","Trial lens clip",""
"36068","Trial lens set",""
"10749","Airway suction catheter",""
"45926","Cricothyrotomy kit, single-use",""
"64309","Ureteral introduction sheath",""
"58923","Wearable adult urine collection bag, open-ended",""
"46629","Temperature-monitoring indwelling urethral drainage catheter",""
"34858","Surgical suction system collection container, single-use",""
"62145","Endoscope working-channel valve, single-use",""
"46967","Basic endotracheal tube, single-use",""
"46569","Reinforced endotracheal tube, single-use",""
"42422","Nasopharyngeal airway, single-use",""
"37469","Artificial airway stylet, single-use",""
"12875","Oxygen administration tubing",""
"64677","Urethral dilator, single-use",""
"34917","Indwelling urethral drainage balloon catheter, non-antimicrobial",""
"31328","Endobronchial tube",""
"14221","Nasogastric feeding tube",""
