"code","description","relatedEmdnCodes"
"65604","Operating table neck/shoulder positioner",""
"52516","Disease-associated prion protein (PrPSc) IVD, kit, enzyme immunohistochemistry",""
"65005","Wheelchair legrest pad",""
"66619","Peripheral artery endovascular stent-graft, drug-coated",""
"62571","Aortic arch branch vessel endovascular stent-graft, drug-coated",""
"63144","Aortic arch endovascular stent-graft extender",""
"62573","Aortic arch endovascular stent-graft",""
"66383","Intravascular occluding/stent-graft post-dilation balloon catheter",""
"43566","Polymer-metal biliary stent, non-bioabsorbable",""
"58043","Endoprosthetic portosystemic shunt",""
"66384","Aortic endovascular implant post-dilation balloon catheter",""
"36182","Pericardium prosthesis",""
"57962","Prostate electrolytic therapy system",""
"57963","Prostate electrolytic therapy system catheter",""
"43771","Phenylalanine IVD, kit, enzyme fluorescence",""
"58192","Multiple amino acid/carnitine metabolite IVD, control",""
"52961","Biotinidase IVD, calibrator",""
"52962","Biotinidase IVD, control",""
"53017","Galactose-1-phosphate uridyl transferase IVD, control",""
"53016","Galactose-1-phosphate uridyl transferase IVD, calibrator",""
"52960","Biotinidase IVD, kit, spectrophotometry",""
"53015","Galactose-1-phosphate uridyl transferase IVD, kit, spectrophotometry",""
"61906","Electronic surgical sponge-counter",""
"36253","Liquid sterilant sterilizer",""
"44774","Inert gas-enhanced electrosurgical system",""
"61877","Inert gas-enhanced endoscopic electrosurgical electrode, reusable",""
"62745","Medical device light source controller",""
"65342","Electrosurgery gas/non-refillable cylinder",""
"62357","Biological sterilization indicator reader",""
"62681","Dental material cartridge-plunging applicator, two-component, electric",""
"38581","Ionic electric toothbrush",""
"60471","Microalbumin IVD, kit, rapid ICT, clinical",""
"57861","Urine analyser IVD, point-of-care",""
"30493","Beta-haemolytic Group A Streptococcus streptokinase antibody IVD, kit, enzyme immunoassay (EIA)",""
"40908","Xenon administration system, diagnostic nuclear medicine",""
"61942","Mobile gait rehabilitation system, harness-support",""
"63457","Biomechanical function analysis system, force-testing, stationary",""
"35430","Radioactive waste container",""
"58500","Body flywheel exerciser",""
"40657","Fluoroscopy/angiography table, non-powered",""
"13635","Stump sock",""
"64484","Patient tube cushion",""
"35872","Airway temperature monitoring system",""
"60928","Laparoscopy carbon dioxide gas/refillable cylinder",""
"37616","Stationary angiographic x-ray system, analogue",""
"45335","Electroacoustical airway secretion-clearing system",""
"60965","Respiratory gas heating wire, infant",""
"61512","Platelet factor 4-heparin complex total antibody IVD, kit, rapid agglutination, clinical",""
"60534","Platelet factor 4-heparin complex antibody IVD, control",""
"47679","Nasal mucosa dressing, non-antimicrobial",""
"46913","Photopheresis system blood set",""
"46912","Photopheresis system",""
"37349","Vibratory biothesiometer",""
"37978","Assistive bathing washcloth",""
"44167","Drinking cup",""
"36488","Radiographic film view box, non-powered",""
"57271","Haemoglobin detection IVD, calibrator",""
"44701","Triglyceride IVD, control",""
"44697","Total cholesterol lipid IVD, control",""
"50958","Francisella tularensis antigen IVD, reagent",""
"50965","Francisella tularensis total antibody IVD, kit, fluorescent immunoassay",""
"51546","Salmonella paratyphi antigen IVD, control",""
"32502","Multiple febrile infection-associated bacteria antigen IVD, control",""
"51561","Salmonella typhi antigen IVD, kit, agglutination",""
"50396","Multiple febrile infection-associated bacteria antigen IVD, kit, agglutination",""
"64798","Video intubation laryngoscope imaging system",""
"64797","Video intubation laryngoscope blade/handle shell",""
"54547","Biological fluid occult blood screening IVD, kit, rapid colorimetric, clinical",""
"46812","Blood storage solution, anticoagulation",""
"63106","Femoral artery compression system, electric",""
"47285","Auditory brainstem implant system",""
"56749","Ozone/hydrogen peroxide sterilizer",""
"67563","Cardiac implantation catheter holder, reusable",""
"65121","Tricuspid transcatheter heart valve bioprosthesis",""
"63544","Cardiac implantation catheter platform base, single-use",""
"63543","Cardiac implantation catheter platform, single-use",""
"63542","Cardiac implantation catheter holder, single-use",""
"67511","Intravenous line sensor, gravity infusion",""
"60350","Aortic open-surgery heart valve bioprosthesis/synthetic polymer aorta graft",""
"31659","Oximeter catheter, single-use",""
"46363","Chamber-decompression cardiac catheter",""
"43235","Fixed-rail armrest",""
"47492","Cardiac transseptal access dilator",""
"32142","Haemodialysis start/stop set",""
"62143","Gastroschisis silo bag",""
"33806","Intestinal splint",""
"44692","Spinal fusion graft kit",""
"17935","High-frequency ventilation endotracheal tube",""
"16033","Endolymphatic shunt",""
"46982","Lice treatment solution, synthetic",""
"44237","Eye lubricant",""
"44601","Haemofilter",""
"57752","Saccamanno solution IVD",""
"55666","Isopropanol alcohol IVD, reagent",""
"57738","Paraffin-based embedding medium IVD",""
"63938","Histology tissue processing reagent kit IVD",""
"57743","Cytology fixative solution IVD",""
"63838","General tissue specimen container IVD, no additive",""
"57739","Tissue freezing/embedding medium IVD",""
"57756","Formalin substitute solution IVD",""
"57744","Frozen tissue fixative IVD",""
"63615","Biopsy tissue marking dye kit IVD",""
"64424","Paraffin anti-adhesion agent IVD",""
"63616","Biopsy tissue marking dye applicator IVD",""
"32948","Bouin's solution IVD",""
"43487","Toluene solution IVD",""
"55692","Methanol IVD, reagent",""
"57753","37% Formaldehyde solution IVD",""
"64432","Microscope slide adhesion agent IVD",""
"36941","Wood's lamp",""
"37656","Extremity MRI system, superconducting magnet",""
"38798","Hair-removal electrolysis system needle electrode, reusable",""
"48129","Gauze strip, antimicrobial",""
"32973","Paraffin wax bath",""
"43845","Basic laboratory mixer",""
"36754","Laboratory water bath",""
"17134","Microscope slide dryer",""
"64080","White blood cell differential count recorder IVD, powered",""
"55862","Reticulocyte count IVD, kit, cell count",""
"63388","Anti-nausea transcutaneous electrical nerve stimulation wristband",""
"46541","Elastomeric infusion pump system filling device",""
"60037","Chloride (Cl-) IVD, kit, spectrophotometry",""
"58388","Visitor hygiene clothing kit",""
"58963","Pressure-management bandage, padded",""
"47611","Liver biopsy procedure kit",""
"42782","Elbow joint orthosis component",""
"32192","Umbilical cord clip",""
"38017","Dry salt inhalation therapy device",""
"14429","Hydro-massage turbine",""
"61395","Wearable peripheral nerve electrical stimulator programmer",""
"62677","Audiometric/hearing device configuration kit",""
"60372","Implantable infusion pump mesh bag",""
"61744","Head-worn bone-conduction hearing aid implantable magnet",""
"61396","Implantable incontinence-control electrical stimulation system programmer, battery-powered",""
"66997","Active implantable device longevity estimation software",""
"46952","Scalp clip applier, single-use",""
"45808","Vacuum quick-connect coupling, male",""
"44434","ENT space-occupying dressing, animal-derived",""
"59447","External pacemaker cover",""
"61403","Cadaveric-donor/synthetic polymer bone graft",""
"36175","Sacral plexus implantable incontinence-control electrical stimulation system",""
"64487","Bandage pressure monitor",""
"54203","Gonadotropin releasing hormone (GnRH) IVD, kit, chemiluminescent immunoassay",""
"57981","Pulmonary resuscitator, pneumatic, single-use",""
"43222","Limb-worn device hygienic cover",""
"60999","Multiple anaemia-related analyte IVD, calibrator",""
"54193","Gastrin IVD, control",""
"41889","Cyclic adenosine monophosphate (cAMP) IVD, control",""
"48304","Hepatitis B virus core total antibody IVD, kit, chemiluminescent immunoassay",""
"60992","Theophylline therapeutic drug monitoring IVD, kit, chemiluminescent immunoassay",""
"61036","Valproic acid therapeutic drug monitoring IVD, kit, chemiluminescent immunoassay",""
"60990","Rubella virus immunoglobulin G (IgG) antibody IVD, kit, chemiluminescent immunoassay",""
"60985","Phenytoin therapeutic drug monitoring IVD, kit, chemiluminescent immunoassay",""
"61993","Collagen pyridium crosslink IVD, kit, chemiluminescent immunoassay",""
"60983","Phenobarbital therapeutic drug monitoring IVD, kit, chemiluminescent immunoassay",""
"52907","Prostatic acid phosphatase (PAP) IVD, kit, chemiluminescent immunoassay",""
"61016","Homocysteine IVD, kit, chemiluminescent immunoassay",""
"61974","Gastrin IVD, kit, chemiluminescent immunoassay",""
"60978","Digitoxin therapeutic drug monitoring IVD, kit, chemiluminescent immunoassay",""
"60977","Carbamazepine therapeutic drug monitoring IVD, kit, chemiluminescent immunoassay",""
"53929","Beta-2-microglobulin IVD, kit, chemiluminescent immunoassay",""
"54376","Thyroglobulin IVD, reagent",""
"52837","Multiple Schistosoma species immunoglobulin G (IgG) antibody IVD, control",""
"53656","Collagen pyridium crosslink IVD, control",""
"38256","Free estriol (oestriol) IVD, control",""
"65560","Coagulation factor Xa inhibitor/heparin activity reagent kit IVD",""
"60994","Multiple liver fibrosis marker IVD, kit, chemiluminescent immunoassay",""
"60996","Multiple liver fibrosis marker IVD, control",""
"56672","Blood gas/haemoximetry analyser IVD, point-of-care",""
"64854","SARS-CoV-2 immunoglobulin G (IgG) antibody IVD, calibrator",""
"64865","SARS-CoV-2 total antibody IVD, kit, chemiluminescent immunoassay",""
"64866","SARS-CoV-2 total antibody IVD, calibrator",""
"62122","Holotranscobalamin (holoTC) IVD, control",""
"62120","Holotranscobalamin (holoTC) IVD, kit, chemiluminescent immunoassay",""
"61080","Cyclic citrullinated peptide antibody (anti-CCP) IVD, kit, chemiluminescent immunoassay",""
"54676","Complexed prostate specific antigen (cPSA) IVD, control",""
"61254","Multiple thyroid marker IVD, reagent",""
"38656","Hepatitis B virus e-antigen immunoglobulin G (IgG) antibody IVD, control",""
"57048","Human epidermal growth factor receptor 2 (HER2) protein IVD, calibrator",""
"60980","Human epidermal growth factor receptor 2 (HER2) protein IVD, kit, chemiluminescent immunoassay",""
"43518","Dithiothriotol (DTT) reagent IVD",""
"38532","Digoxin therapeutic drug monitoring IVD, control",""
"61001","Cyclosporin A/cyclosporine therapeutic drug monitoring IVD, kit, chemiluminescent immunoassay",""
"54677","Complexed prostate specific antigen (cPSA) IVD, reagent",""
"54673","Complexed prostate specific antigen (cPSA) IVD, kit, chemiluminescent immunoassay",""
"54675","Complexed prostate specific antigen (cPSA) IVD, calibrator",""
"54576","Cancer antigen 27-29 (CA27-29) IVD, calibrator",""
"38221","Multiple tissue-associated protein/tumour marker IVD, calibrator",""
"54578","Cancer antigen 27-29 (CA27-29) IVD, reagent",""
"54577","Cancer antigen 27-29 (CA27-29) IVD, control",""
"54575","Cancer antigen 27-29 (CA27-29) IVD, kit, chemiluminescent immunoassay",""
"41962","Hepatitis A virus total antibody IVD, control",""
"59083","Digoxin therapeutic drug monitoring IVD, kit, nephelometry/turbidimetry",""
"52836","Multiple Schistosoma species immunoglobulin G (IgG) antibody IVD, calibrator",""
"59243","Hydrogen (H+)/pH electrode IVD",""
"36128","Blood pH electrode",""
"35034","Blood oxygen electrode IVD",""
"60984","Phenobarbital therapeutic drug monitoring IVD, kit, enzyme immunoassay (EIA)",""
"55432","Valproic acid therapeutic drug monitoring IVD, control",""
"55276","Gentamicin therapeutic drug monitoring IVD, control",""
"61017","Gentamicin therapeutic drug monitoring IVD, kit, chemiluminescent immunoassay",""
"55415","Phenobarbital therapeutic drug monitoring IVD, calibrator",""
"55371","Carbamazepine therapeutic drug monitoring IVD, control",""
"55855","Full blood count IVD, reagent",""
"61034","Vancomycin therapeutic drug monitoring IVD, kit, chemiluminescent immunoassay",""
"56272","Coagulation factor Xa inhibitor IVD, calibrator",""
"56181","Coagulation factor Xa inhibitor IVD, control",""
"62625","Instrument/analyser test tube rack cover IVD",""
"54149","Erythropoietin (EPO) IVD, kit, chemiluminescent immunoassay",""
"63151","Glycated haemoglobin (HbA1c) IVD, kit, spectrophotometry",""
"55311","Vancomycin therapeutic drug monitoring IVD, control",""
"55424","Phenytoin therapeutic drug monitoring IVD, control",""
"53305","Glucose IVD, kit, ion-selective electrode (ISE)",""
"53858","Interleukin-6 (IL-6) IVD, kit, chemiluminescent immunoassay",""
"57957","Vitrectomy sutureless lens holding ring, reusable",""
"65807","Body fluid jug, single-use",""
"61276","Nipple former",""
"30059","Manual drawing/writing assistive device",""
"31102","Assistive hairbrush",""
"44463","Assistive hair comb",""
"37454","Ear dropper, single-use",""
"46962","Fibreoptic vaginal speculum",""
"30093","Container opening aid",""
"58869","Intravascular extraction catheter-forceps",""
"63637","Weighted duvet",""
"40553","Assistive liquid funnel",""
"62912","Donor-organ preservation/transport bag",""
"66103","Assay stirring set IVD",""
"35734","Laboratory liquid dispenser, manual",""
"15111","Burette",""
"14465","Wrist binder, single-use",""
"67120","Posture imaging/analysis software",""
"60342","Gas line connection reference standard",""
"41232","Acoustic earmuffs",""
"35406","Standard treadmill, mechanical",""
"65847","HIV1/HIV2 antibody IVD, kit, rapid ICT, clinical",""
"40927","Radiological compression belt",""
"63647","Pneumatic suction regulator/regulation set",""
"63648","General-purpose surgical suction system, electric",""
"62682","Dental impression material kit, reusable",""
"62242","Gastrointestinal motility manometric catheter, electronic",""
"45967","Faecal specimen container IVD, DNA preservation solution",""
"17976","Lifting seat cushion",""
"45350","Solid-seat mobile patient lifting system",""
"60626","Defibrinated blood dressing",""
"61444","Respiratory thermal shield",""
"35426","Airway pressure alarm",""
"61590","Electronic epidural space locator control unit",""
"61591","Electronic epidural space locator pressure-sensing set",""
"35358","Vacuum mouldable splint",""
"59782","Retinitis pigmentosa IVD, reagent",""
"62038","Faecal incontinence collector, skin-fixation",""
"13583","Shroud kit",""
"60825","Manual enema device, single-use",""
"65395","Wearable paediatric urine collection bag",""
"35340","Sitz bath kit, single-use",""
"64869","Plant polysaccharide/inorganic composite haemostatic agent",""
"43565","Arm splint system, self-moulding",""
"16477","Fire blanket",""
"11653","Eye wash cup",""
"57966","Pressure-ulcer topical dressing",""
"64416","Surgical anti-adhesion material, nonimplantable",""
"62605","ENT surgical aspirator",""
"64847","Surgical/medical face mask, reprocessed",""
"37937","Standing transfer platform, electric",""
"31056","Assistive toilet",""
"47260","Contrast medium injection system hand controller kit",""
"46592","MRI contrast medium injection system, battery-powered",""
"15783","Stationary electric high-frequency ventilator",""
"59750","Analogue durometer",""
"15819","X-ray film cutter",""
"63186","Immunoassay reagent vehicle tray IVD, reusable",""
"35976","Microscope slide cabinet",""
"15175","Laboratory scale, electronic",""
"57764","Non-buffered formalin IVD",""
"57320","Kappa/lambda light chain messenger RNA IVD, probe",""
"48536","Human T-cell lymphotrophic virus 1 (HTLV1) antibody IVD, reagent",""
"63254","Procollagen type I N-terminal propeptide (PINP) IVD, control",""
"63747","Herpes simplex virus 2 (HSV2) antigen IVD, antibody",""
"56937","CD10 cell marker IVD, kit, enzyme immunohistochemistry",""
"56925","CD3 cell marker IVD, kit, enzyme immunohistochemistry",""
"56991","CD45RO cell marker IVD, kit, enzyme immunohistochemistry",""
"57462","Myogenin IVD, reagent",""
"52719","Monospecific anti-complement component C3 (anti-C3) IVD, antibody",""
"57527","PMS-2 protein IVD, antibody",""
"65514","Dental suction system cannula soft tip",""
"63221","Bone trephine set",""
"31327","Tracheal tube cuff spreader",""
"63197","Endoscopic irrigation/aspiration foot-pedal",""
"64257","Surgical instrument irrigation channel",""
"48709","Enterovirus neutralizing antibody (serotypes 68-71) IVD, calibrator",""
"35397","Capillary patient thermometer, mercury",""
"41517","Arm prosthesis socket",""
"60522","Skin treatment/dressing-supportive glove/mitten, reusable",""
"61491","Neuroscopic shunt placement kit",""
"61718","Preformed dental crown, permanent",""
"67089","Dental restorative material curing activator",""
"45501","Root canal irrigation handpiece",""
"38649","Resin dental inlay",""
"35364","Dry-heat sterilizer",""
"55894","Haemoglobin E (HbE) IVD, calibrator",""
"16708","Silicophosphate dental cement",""
"66364","Dental prosthesis removal adhesive resin",""
"64556","Custom-made dental anatomy model",""
"36280","Medication cartridge syringe, safety-needle",""
"42395","Spring-loaded dental mallet",""
"66293","Gnathodynamometer mouthpiece",""
"66294","Bite block cover",""
"66292","Gnathodynamometer",""
"63455","Dynamometer attachment",""
"63975","Dental anaesthesia syringe, single-use",""
"63829","Dental suction system pump",""
"42911","Gas pipeline/supply system air compressor",""
"64795","Dental coating, tooth-desensitizing, home-use",""
"38594","Custom-made dental crown, ceramic",""
"66609","Dental epoxy resin",""
"63978","Dental power tool non-rotary polishing endpiece",""
"37183","ESDP endoscope",""
"34837","Transabdominal amnioscope",""
"43938","Solution agitator",""
"61093","Cervical orthopaedic reamer",""
"48081","Haemorrhoid electrotherapy system procedure kit",""
"52443","Toxoplasma gondii immunoglobulin M (IgM) antibody IVD, reagent",""
"52453","Toxoplasma gondii immunoglobulin G (IgG)/IgM antibody IVD, reagent",""
"52439","Toxoplasma gondii immunoglobulin G (IgG) antibody IVD, reagent",""
"51588","Salmonella typhi total antibody IVD, kit, immunoblot",""
"46965","Wheelchair occupant position sensor",""
"16772","Laboratory water bath/shaker",""
"66289","Histology tissue cassette lid IVD",""
"43539","Urine catalase IVD, kit, rapid colorimetric, clinical",""
"65197","Rectal/faecal specimen collection kit",""
"49505","Respiratory syncytial virus (RSV) antigen IVD, reagent",""
"65199","Amniotic fluid leak detector",""
"64291","Mobile bariatric examination/treatment chair, manual",""
"41550","Hand sanitizer",""
"63285","Multi-purpose therapeutic saline solution",""
"59061","Radiation attenuating Hevea-latex surgical/procedural glove",""
"60857","Composite-polymer surgical glove, non-powdered",""
"32604","Uterine packer",""
"45128","Wrist immobilizer, single-use",""
"63190","Grip sock",""
"13634","Fracture sock",""
"10672","Cast walking heel",""
