"code","description","relatedEmdnCodes"
"36857","Ultrasonic respiratory humidifier",""
"56700","Nasal irrigation saline solution",""
"65552","Endoscope flushing adaptor, single-use",""
"48128","Gauze strip, non-antimicrobial",""
"44714","Intraoperative ultrasound imaging transducer cover",""
"58011","Vaginal pH screening IVD, kit, rapid colorimetric, self-testing",""
"44845","Nasal irrigation set, home-use",""
"12516","Magnetic metal detector",""
"64096","Nylon suture, bioabsorbable, antimicrobial",""
"42542","Vacuum quick-connect coupling, female",""
"47486","Intravascular haemodynamic monitoring system guidewire",""
"61495","Pneumatic-support treadmill",""
"63426","Joint/spinal manipulator, mechanical",""
"40606","Nuclear medicine phantom, flood source",""
"47452","Bed pillow, single-use",""
"47454","Basic pillowcase, single-use",""
"38318","Radionuclide source, quality assurance",""
"32736","Ophthalmic chair, manual",""
"44142","Line-powered autopsy saw",""
"62814","General cryosurgical system, thermo-electric cooler",""
"61853","Urinary-incontinence vaginal insert, single-use",""
"64812","Gait rehabilitation frame, manual",""
"63562","Home-use facial steamer",""
"66591","Red-light phototherapy unit, home-use",""
"66988","Home-use radio-frequency skin contouring unit",""
"58416","Activated-medium surgical warming blanket",""
"35063","Eye mask",""
"30101","Assistive lifting/tilting positioning system",""
"58390","Visitor hygiene coverall",""
"52751","Haematological concentrate/haemostatic agent applicator cannula, endoscopic, single-use",""
"62906","Dental waterline disinfectant cartridge",""
"64010","Orthodontic appliance/positioning tray kit",""
"64454","DICOM image data disc-recording unit",""
"61558","Intrauterine haemostatic suction catheter",""
"64023","Dermatological elastic scattering spectroscopy probe",""
"65824","Ultraviolet device microbial reduction unit",""
"63675","Orthodontic retainer support kit",""
"31311","Room dehumidifier",""
"17242","Posturography system",""
"45584","Dynamic visual acuity testing system",""
"58286","Thermal vapour lung treatment system catheter",""
"41231","Ear pip",""
"65009","Video capsule endoscopy system capsule magnetic manipulation unit",""
"62390","Ceramic dental inlay adhesive solution",""
"58181","Colonic lavage unit",""
"60903","Colonic lavage kit, non-surgical",""
"56675","Multiple clinical chemistry analyser IVD, home-use",""
"38332","Scintillation-counter radiation survey meter",""
"10003","Abdominal binder, single-use",""
"57923","Drug-testing urine specimen container IVD",""
"60790","Endothermic cold therapy pack",""
"46867","Oxygen administration enhancement device",""
