"code","description","relatedEmdnCodes"
"63452","Pressure algometer, electronic",""
"55916","Red cell plasmalogen IVD, calibrator",""
"55915","Red cell plasmalogen IVD, kit, thin layer chromatography",""
"55914","Red cell plasmalogen IVD, kit, liquid chromatography",""
"55913","Ham's acid red cell test IVD, reagent",""
"55912","Ham's acid red cell test IVD, control",""
"55911","Ham's acid red cell test IVD, calibrator",""
"55910","Ham's acid red cell test IVD, kit, spectrophotometry",""
"55909","Reticulocyte haemoglobin content (CHr) IVD, reagent",""
"55907","Reticulocyte haemoglobin content (CHr) IVD, kit, fluorescent activated cell sorting/flow cytometry (FACS/Flow)",""
"55905","Haemoglobin S (HbS) IVD, calibrator",""
"55902","Haemoglobin H (HbH) IVD, calibrator",""
"57965","Thoracic electrical impedance system, tomographic",""
"64408","Thoracic electrical impedance electrode array conductive skin adhesive tape",""
"64407","Electrical impedance skin electrode chest positioner",""
"64406","Thoracic electrical impedance electrode array, reusable",""
"61692","Breathing circuit gas-flow sensor, single-use",""
"64503","Dental implant suprastructure resin restrictor",""
"64502","Dental implant suprastructure aligner",""
"63871","Microfilter imaging plate IVD",""
"62553","Pancreatic stone protein (PSP) IVD, kit, fluorescent immunoassay",""
"63446","Medication cartridge syringe, needleless, reusable",""
"62245","Urodynamic manometric catheter, electronic, reusable",""
"64981","Specimen information management system IVD",""
"65904","Abdominal fluid shunt system programming kit",""
"47551","Abdominal fluid shunt system",""
"47701","Blue light radiometer",""
"52125","Anisakis species immunoglobulin G (IgG) antibody IVD, kit, enzyme immunoassay (EIA)",""
"52504","Wuchereria bancrofti immunoglobulin G (IgG) antibody IVD, kit, enzyme immunoassay (EIA)",""
"62114","Ocular volume ambulatory recording system software",""
"62113","Ocular volume ambulatory recording system recorder",""
"62112","Ocular monitoring/recording system ambulatory antenna, single-use",""
"62111","Ocular volume ambulatory recording system sensor",""
"59225","Mechanical atherectomy system catheter/handpiece",""
"33663","Cardiopulmonary bypass system centrifugal pump backup drive unit",""
"41578","Circulatory assist system application software",""
"60334","Blood centrifugation system processing unit",""
"65466","Trabeculated bicondylar knee tibia prosthesis",""
"47979","Pressure-wave skin/body contouring system",""
"64568","Dental implantation depth/angle gauge, single-use",""
"62719","Crown surgical drill bit, single-use",""
"42630","Hydrogel dental regeneration membrane",""
"46433","Ophthalmic instrument table, manual",""
"47170","Superficial skin exfoliant, home-use",""
"30937","Attention assistive training device",""
"65258","Electromechanical/ultrasonic lithotripsy system",""
