"code","description","relatedEmdnCodes"
"61449","Conceptive cervical cap, single-use",""
"62563","Arthroplasty force sensor display unit",""
"58988","Arthroplasty force sensor",""
"13180","Orthopaedic prosthesis implantation positioning instrument, reusable",""
"47866","Orthopaedic implant/instrument dismantling device",""
"47870","Orthopaedic fixation implant alignment tool",""
"63475","Neuromuscular rehabilitation software",""
"37452","Nipple shielding teat, single-use",""
"41086","Passive wrist prosthesis",""
"31759","Orthodontic tube",""
"41677","Orthodontic archwire/bracket ligature",""
"62073","Orthodontic inter-bracket elastic chain",""
"62074","Orthodontic inter-arch elastic band",""
"33209","Orthodontic pliers",""
"38741","Orthodontic lock",""
"66599","MRI image interpretive software",""
"66630","Pelvic floor compression binder",""
"48037","Oral care swab",""
"63131","Electroencephalographic electrode cap, reusable",""
"62256","Enteral tube extension, single-use",""
"35694","Menstrual tampon, unscented",""
"33722","General-purpose absorbent tip applicator/swab, single-use",""
"45688","Red-light phototherapy unit, professional",""
"64132","Medical equipment handle cover adaptor",""
"65738","Endodontic obturation material distribution endpiece, reusable",""
"31876","Endodontic enlarger, reusable",""
"35784","Endodontic broach, serrated, reusable",""
"62085","Extracorporeal membrane oxygenation system circuit",""
"40873","Ultrasound imaging system application software",""
"15321","Skin topical coupling gel",""
"64312","Dental prosthesis/implant abutment screw analog, single-use",""
"64123","Biotin (vitamin H) IVD, kit, enzyme immunoassay (EIA)",""
"38608","Dental wrought alloy",""
"38734","Orthodontic metal band",""
"63708","Orthodontic separator",""
"46582","Orthodontic bracket, plastic, single-use",""
"62072","Orthodontic elastomeric appliance pusher",""
"56637","Orthopaedic surgical distractor, internal",""
"44065","Neurosurgical procedure kit, non-medicated, reusable",""
"44788","Spinal implant trial",""
"47872","Bone graft funnel",""
"47863","Surgical instrument/implant depth limiter, reusable",""
"12391","Wearable multiple physiological parameter recorder, reusable",""
"45004","Rubber dam, non-latex",""
"11155","Rubber dam, Hevea-latex",""
"58949","General-purpose surgical scissors, single-use",""
"33961","General surgical procedure kit, non-medicated, single-use",""
"44359","Ophthalmic surgical probe, single-use",""
"62490","Dressing/utility forceps, scissors-like, single-use",""
"66657","Conjunctival scissors, single-use",""
"66931","Ophthalmic surgical device handling forceps, single-use",""
"62479","Surgical soft-tissue manipulation forceps, tweezers-like, single-use",""
"58506","Pain management medication delivery system",""
"15164","pH meter IVD",""
"41222","Medication transfer set",""
"35754","Oral liquid dose dispenser cabinet",""
"35441","Cardiopulmonary bypass system blood tubing set",""
"42977","Surgical wound gas diffuser",""
"64747","SARS-CoV-2 nucleic acid IVD, kit, nucleic acid technique (NAT)",""
"61490","Eye patch",""
"65056","Intraoperative gamma radiation detection system probe cover",""
"40783","Microwave hyperthermia system",""
"40791","Microwave hyperthermia system applicator, extracorporeal",""
"43090","Basic electric toothbrush",""
"45981","Hard/soft-tissue ultrasonic surgical system",""
"64709","Neurological pain-testing pin",""
"63489","Sleep-disordered breathing tongue electrical stimulator",""
"31684","Operating table patient pressure distribution pad, reusable",""
"65180","Operating table patient positioning set, reusable",""
"40086","Operating table patient pressure distribution pad, single-use",""
"61229","External lower-limb prosthesis structural/alignment component",""
"61129","Patient positioner base plate",""
"40980","Medical x-ray film, non-screen",""
"38336","Solid-state-semiconductor radiation measuring probe",""
"38399","Accelerator system quality assurance device",""
"40887","Radiation therapy software",""
"36596","Radiation electrometer",""
"40631","Multi-modality therapeutic radiation phantom, test object",""
"44757","Synovial fluid supplementation medium",""
"59130","Dermal tissue reconstructive material, animal-derived",""
"43761","Centrifuge tube IVD",""
"47062","Laboratory dialyser",""
"62286","Gastric drainage/decompression bag",""
"60539","Vial/bottle adaptor, non-hermetic",""
"36053","Nasogastric tube holder, noninvasive",""
"65012","ENFit-formatted protective cap",""
"64357","Medication transfer straw",""
"62048","Gastric pH strip",""
"61388","Capillary blood collection tube IVD, lithium heparin",""
"66604","Patient fall-recovery chair, electric",""
"66605","Patient fall-recovery chair, manual",""
"32764","Ophthalmic knife, reusable",""
"44290","Assisted reproduction heater/incubator",""
"35569","Neonatal multi-parameter bedside monitor",""
"37266","Nitric oxide delivery unit, system-based",""
"47704","Cosmetic red-light phototherapy system, home-use",""
"65723","Red/infrared light phototherapy unit",""
"62116","Red/blue light phototherapy unit",""
"62202","Blue/red/infrared phototherapy lamp",""
"64508","Evacuated blood collection tube IVD, anticoagulant/cell preservative",""
"52735","Cell preservation/storage/dilution solution IVD",""
"16340","Cast cutter, electrically-powered",""
"17877","Negative-pressure ventilator",""
"47971","Dental bone matrix implant, synthetic",""
"61225","Treponema pallidum immunoglobulin G (IgG)/IgM antibody IVD, kit, agglutination",""
"12301","Colonic lavage system, powered-flow",""
"46741","Ophthalmic knife, single-use",""
"44100","Blood bank information system application software",""
"44082","Clinical laboratory information system application software",""
"42280","Tissue specimen x-ray system IVD",""
"36110","Thermometric fertility analyser",""
"40868","Angiographic x-ray system application software",""
"58074","Dermatological optical coherence tomography system",""
"36051","Carbon dioxide absorbent",""
"46233","Carbon dioxide absorbent cartridge",""
"45870","Multi-purpose soft contact lens solution",""
"47868","Multiple-type clinical chemistry analyte profile IVD, calibrator",""
"52899","Sodium (Na+) IVD, reagent",""
"52895","Potassium (K+) IVD, reagent",""
"53398","Low density lipoprotein (LDL) cholesterol IVD, reagent",""
"53586","Uric acid IVD, reagent",""
"58197","Unsaturated iron binding capacity (UIBC) IVD, reagent",""
"53989","Total protein IVD, reagent",""
"52891","Inorganic phosphate (PO43-) IVD, reagent",""
"52883","Magnesium (Mg2+) IVD, reagent",""
"53074","Total lactate dehydrogenase (LDH) IVD, reagent",""
"54762","Iron IVD, reagent",""
"53307","Glucose IVD, reagent",""
"53030","Gamma-glutamyltransferase (GGT) IVD, reagent",""
"53006","Total creatine kinase (CK) IVD, reagent",""
"52879","Chloride (Cl-) IVD, reagent",""
"52875","Calcium (Ca2+) IVD, reagent",""
"53231","Total bilirubin IVD, reagent",""
"53236","Conjugated (direct) bilirubin IVD, reagent",""
"53590","Urea IVD, reagent",""
"52955","Total aspartate aminotransferase (AST) IVD, reagent",""
"52925","Alanine aminotransferase (ALT) IVD, reagent",""
"52941","Total amylase IVD, reagent",""
"52929","Total alkaline phosphatase (ALP) IVD, reagent",""
"53599","Albumin IVD, reagent",""
"55610","Ethanol (ETOH) IVD, calibrator",""
"60771","Carbon dioxide (CO2) IVD, calibrator",""
"52861","Multiple blood gas/haemoximetry/electrolyte analyte IVD, reagent",""
"60774","Carbon dioxide (CO2) IVD, reagent",""
"16266","Medication transfer needle, filtering",""
"34845","Intrathecal anaesthesia set, non-medicated",""
"63603","Neuraxial syringe",""
"65011","NRFit-formatted protective cap",""
"63607","NRFit/epidural catheter linear connector",""
"31245","Anaesthesia conduction filter",""
"58131","Haemodialysis system, institutional/home-use",""
"63952","Haemodialysis system dialysate delivery set",""
"59233","Stationary orthovoltage therapeutic x-ray system",""
"17643","Extracorporeal membrane oxygenator",""
"45152","Dental anaesthesia injection kit",""
"35868","Dental restoration retention pin",""
"64902","Physiological measuring device wireless data capture/transfer unit",""
"66679","Push-rim manual wheelchair, bariatric",""
"41630","Attendant-only-propelled wheelchair, non-bariatric",""
"12716","Benchtop nebulizer, heated",""
"31158","Wheelchair brakes",""
"32984","Wheelchair handrim",""
"41119","Wheelchair/chair/stander headrest",""
"32981","Wheelchair armrest",""
"36254","Wheelchair back rest",""
"32987","Wheelchair antitip device",""
"41112","Assistive coverall",""
"44472","Oxygen therapy conserving regulator",""
"13356","Wheelchair/chair/stander occupant restraint/support",""
"47478","Alternating-pressure bed mattress overlay system",""
"47477","Air-filled chair cushion",""
"47123","Alternating-pressure chair cushion, reusable",""
"41900","Alternating-pressure bed mattress overlay, reusable",""
"46553","Assisted reproduction microtool",""
"34169","Assisted reproduction electromechanical micromanipulator",""
"61181","Assisted reproduction laser system",""
"61327","Rectal medication applicator, single-use",""
"64507","Rectal medication/infusion catheter",""
"63299","Colonic lavage kit, surgical",""
"17228","Computerized rhinomanometer",""
"57974","Acoustic rhinometer",""
"13740","Ethylene oxide sterilizer",""
"35362","Chemical/physical sterilization process indicator",""
"61851","Laparoscopic access suction dome",""
"67046","Arterial tourniquet, manual, single-use",""
"46424","Pneumothorax dressing",""
"63496","Pelvic fracture binder, single-use",""
"64413","Freestanding headrest, single-use",""
"62041","First aid limb splint, non-mouldable, single-use",""
"38578","Magnetic dental precision attachment",""
"64735","External limb prosthesis finishing component, custom-made",""
"10035","Skin surface device adhesive",""
"63313","Kinesiology/electromyographic sensor set",""
"32521","Multiple physiological signal amplifier",""
"17929","Biomechanical function analysis system, motion-tracking",""
"44813","Bio-energy mapping system application software",""
"36252","Kinesiology ambulatory recorder",""
"61672","Back/leg/chest dynamometer, electronic",""
"43114","Posturography system platform",""
"63314","Electronic torsional hand exerciser",""
"64435","Conjunctival trocar blade",""
"62562","Hand-held surgical retractor, single-use",""
"62480","Surgical bulldog clamp, single-use",""
"64022","Soft-tissue surgical hook, single-use",""
"66582","Eyelid clamp, single-use",""
"62558","General-purpose curette",""
"64287","Eyeball fixation instrument, single-use",""
"34035","Lacrimal dilator, single-use",""
"62785","Ophthalmic surgery fluid retention ring",""
"61478","Surgical soft-tissue manipulation forceps, scissors-like, single-use",""
"47991","Self-retaining surgical retractor, single-use",""
"63270","Scalpel handle, single-use",""
"66661","Ophthalmic strabismus scissors, single-use",""
"62489","Dressing/utility forceps, tweezers-like, single-use",""
"63385","Medical device cleaning agent",""
"58061","Instrument rinsing agent",""
"42737","Coagulase production microbial reagent IVD",""
"43714","Tryptophan utilization/spot indole microbial reagent IVD",""
"51615","Shigella boydii culture isolate antigen IVD, reagent",""
"51623","Shigella dysenteriae culture isolate antigen IVD, reagent",""
"65291","Multiple Salmonella species antigen IVD, kit, rapid agglutination, clinical",""
"51538","Multiple Salmonella species total antibody IVD, reagent",""
"43733","Gram stain IVD, reagent",""
"43720","Indole/Kovac's microbial reagent IVD",""
"17882","Physiologic-monitoring defibrillation system",""
"47475","Odour-absorbent dressing, antimicrobial",""
"46492","Mouthguard, single-use",""
"42919","Liver donor-organ preservation/transport system",""
"62183","Intestinal/urinary stoma button",""
"47887","Dermal tissue reconstructive material, microbe-derived, anaesthetic",""
"60945","Pharyngeal electrical stimulation control unit",""
"60946","Pharyngeal electrical stimulation catheter",""
"60510","Hygroscopic dental cement",""
"16705","Zinc polycarboxylate dental cement",""
"51055","Legionella pneumophila antigen IVD, kit, agglutination",""
"51513","Multiple Salmonella species culture isolate antigen IVD, kit, agglutination",""
"61734","Breast pump support kit, reusable",""
"16754","Electrocardiographic recording paper",""
"60761","Nitrogen plasma skin surface treatment system",""
"62481","Pliable-polymer dental regeneration membrane, non-bioabsorbable",""
"64322","Dental precision attachment fitting/adjustment tool",""
"65191","Dental instrument depth limiter",""
"47974","Dental implant x-ray template",""
"35440","Cardiopulmonary bypass system air bubble/fluid level detector",""
"62743","Sensor holder, single-use",""
"31714","Cardiopulmonary bypass system gas control unit",""
"17206","Cardiopulmonary bypass system heating/cooling unit",""
"36347","Cardiopulmonary bypass system roller pump",""
"37238","Extracorporeal blood gas/pH monitor",""
"33317","Cardiopulmonary bypass system centrifugal pump drive unit",""
"38473","Patient health record information system",""
"64145","Ligament reconstruction instrument set, single-use",""
"63561","Orthopaedic graft tensioner, single-use",""
"63560","Wire/ligature passer, single-use",""
"47030","Ligament graft, synthetic polymer",""
"56708","Bone tap, single-use",""
"46536","Orthodontic anchoring screw",""
"58177","Urine specimen collection kit IVD",""
"47775","General specimen container IVD, no additive/medium",""
"58940","Podiatry kit, single-use",""
"65048","Podiatric probe, single-use",""
"64044","Nail splitting forceps, single-use",""
"63656","Abdominal/ENT/orthopaedic surgical probe, single-use",""
"57827","Digit tourniquet, manual",""
"64032","Nail clippers, single-use",""
"62557","Bandage scissors, single-use",""
"56303","Suture kit, non-medicated",""
"62744","Wound dressing kit, non-medicated",""
"63859","Toenail file/rasp, single-use",""
"41575","Orthotic insole, prefabricated, non-antimicrobial",""
"61481","Open-surgery biopsy forceps, single-use",""
"33089","Airway tube forceps, single-use",""
"64025","Podiatric bur, single-use",""
"64927","Nail emery board",""
"47164","Point aesthesiometer",""
"65049","Podiatric probe, reusable",""
"37861","Surgical plume evacuation system",""
"60836","Laparoscopic plume filter",""
"47998","Surgical fluid/smoke waste management system",""
"35917","Surgical/emergency suction cannula, non-illuminating, single-use",""
"65449","ENT foreign body extraction forceps",""
"65774","Inflatable patient transfer sliding mattress, reusable",""
"40535","Solid-seat mobile patient lifting system seat",""
"62165","Nurse call system",""
"34988","Birthing/delivery kit",""
"35281","Synthetic vascular graft",""
"62347","Wound therapy oxygenator, reusable",""
"59124","Wound therapy oxygenator, single-use",""
"63396","Microwave/electrosurgical system generator",""
"63397","Endoscopic electrosurgical/microwave submucosal lift/resection instrument",""
"61286","Microwave ablation system probe, non-powered",""
"64631","Endoscopic microwave ablation probe/needle",""
"63219","Radio-frequency identification reader",""
"65776","Home-use intense pulsed light hair removal unit",""
"48011","External orthopaedic fixation system, single-use",""
"32130","Hazardous fluid syringe",""
"16807","Pharmaceutical fluid-dispensing system",""
"62340","Hypothermia-prevention whole-body suit",""
