"code","description","relatedEmdnCodes"
"60505","Vertebral bone filler, non-bioabsorbable",""
"35166","Bone nail driver",""
"58804","Surgical implant template, single-use",""
"11330","Biopsy drill bit",""
"61405","Surgical optical-tracking spatial marker cranial anchor",""
"47744","Surgical water bath system",""
"46637","Craniofacial bone screw, bioabsorbable",""
"46641","Craniofacial fixation plate, bioabsorbable",""
"47677","Craniofacial alignment rod",""
"47635","Implantable craniofacial bone distractor",""
"35085","Mouth gag, adjustable, reusable",""
"32874","Wire holding/twisting pliers",""
"46580","Extra-gynaecological surgical mesh, metal",""
"38799","Polymer orthopaedic cement restrictor, non-bioabsorbable",""
"44869","Orthopaedic graft inserter, reusable",""
"32241","Fibreoptic operating light system",""
"58297","Compartmental-pressure monitoring system, reusable",""
"60520","Orthopaedic material preparation vacuum pump",""
"60515","Combination-material acetabulum prosthesis",""
"61497","Endoscope hood",""
"61520","Peritoneal drainage catheter",""
"17003","Lacrimal tube",""
"57845","High performance liquid chromatography analyser IVD",""
"40644","PET system",""
"15963","X-ray image intensifier",""
"36542","Voltage-converting power supply",""
"37176","Patient monitoring system module, electrocardiographic, telemetric",""
"37336","Cardiac electroacoustic transducer",""
"64474","Luer/Luer linear connector, reusable",""
"31072","Personal device holder, single-use",""
"62804","Data storage card",""
"36178","Stretcher equipment holder",""
"60387","Noninvasive multiple cardiovascular measurement unit",""
"62164","Patient monitor remote control",""
"61048","Patient examination/treatment drape, single-use",""
"17407","Balance weight",""
"36194","Apheresis system filter, whole blood",""
"47072","Hollow-fibre haemodialysis dialyser, single-use",""
"36759","Loudspeaker",""
"30034","Bed extension",""
"37991","Bed remote control",""
"46382","Peripheral anaesthesia single-administration set, non-medicated",""
"61547","Peripheral nerve-block sharp needle",""
"45178","Peripheral nerve-block blunt needle",""
"61907","Hallux valgus metatarsophalangeal orthosis",""
"60724","Multidisciplinary medical image management software",""
"22726","End-cut biopsy gun handpiece/needle",""
"15743","Specimen container mailer, insulated",""
"47103","Insect bite/sting hyperthermia device",""
"48085","Dental impression material kit, single-use",""
"16195","Dental matrix band, reusable",""
"63141","Anal fistula circular cutter",""
"44294","Infant recumbent sleep positioner",""
"48140","Nasal/paranasal balloon catheter",""
"45198","ENT stereotactic surgery system",""
"58884","Self-care monitoring/reporting software",""
"43829","Body-surface pressure mapping system",""
"53627","Calprotectin IVD, reagent",""
"60094","Exogenous DNA/RNA internal control IVD, kit",""
"65154","Olfactory test stick",""
"38595","Custom-made dental crown, polymer",""
"17845","Partial denture",""
"38589","Complete lower denture",""
"38588","Complete upper denture",""
"38620","Custom-made mouthguard",""
"58106","Dental impression tray material",""
"57949","Dental guided surgery reference plate",""
"36005","MRI system synchronizer",""
"35711","Electrohydraulic lithotripsy system",""
"61628","Circulatory/musculoskeletal vibration therapy unit, platform",""
